Recipe Name,File Name,Cuisine,Core Ingredient
New Delhi Chicken Curry,new-delhi-chicken-curry.md,Indian,Chicken
Nigerian Jollof Rice,nigerian-jollof-rice.md,Nigerian,Rice
Nihari (Pakistani Slow-Cooked Lamb Stew),nihari-(pakistani-slow-cooked-lamb-stew).md,Pakistani,Lamb
One Pan Caramelized Onion Pasta,one-pan-caramelized-onion-pasta.md,Various,Pasta
One-Pan Roasted Chicken and Potatoes,one-pan-roasted-chicken-and-potatoes.md,Various,Chicken
One-Pan Shrimp and Orzo Dinner,one-pan-shrimp-and-orzo-dinner.md,Mediterranean,Shrimp
One-Pot Lemon Chicken and Rice,one-pot-lemon-chicken-and-rice.md,Various,Chicken
"Overnight Chuck Roast (""Canadian Wagyu"")",overnight-chuck-roast-(_canadian-wagyu_).md,Various,Beef
Pan-Seared Fish Tacos with Mango Salsa,pan-seared-fish-tacos-with-mango-salsa.md,Mexican,Fish
Pan-Seared Pork Chops with Mustard Velouté,pan-seared-pork-chops-with-mustard-velouté.md,French,Pork
Panko Sesame Crusted Salmon,panko-sesame-crusted-salmon.md,Various,Salmon
Peri Peri Chicken Wraps,peri-peri-chicken-with-lemon-butter-sauce.md,African,Chicken
Peri-Peri Chicken with Lemon Butter Sauce,peri-peri-chicken-wraps.md,African,Chicken
Persian Koobideh Kebab,persian-koobideh-kebab.md,Persian,Beef
Pickle-Brined Chicken Tenders with Spicy Honey Aioli,pickle-brined-chicken-tenders-with-spicy-honey-aioli.md,Various,Chicken
Prime Rib Steak Sandwich,prime-rib-steak-sandwich.md,Various,Beef
Roasted Broccoli with Hummus and Cucumber Salad,roasted-broccoli-with-hummus-and-cucumber-salad.md,Middle Eastern,Broccoli
Shrimp and Broccoli Alfredo,shrimp-and-broccoli-alfredo.md,Italian,Shrimp
Sichuan Hot Pot Broth and Base,sichuan-hot-pot-broth-and-base.md,Chinese,Broth
Sicilian Arancini (Rice Balls),sicilian-arancini-(rice-balls).md,Italian,Rice
Simple Instant Pot Recipes,simple-instant-pot-recipes.md,Various,Various
Spatchcocked Thanksgiving Turkey,spatchcocked-thanksgiving-turkey.md,American,Turkey
Spicy Shawarma Chicken Sandwich,spicy-shawarma-chicken-sandwich.md,Middle Eastern,Chicken
Spicy Sichuan Noodles,spicy-sichuan-noodles.md,Chinese,Noodles
Spicy White Bean Chicken Chili,spicy-white-bean-chicken-chili.md,Mexican,Chicken
Steam-Method Chinese Fried Rice,steam-method-chinese-fried-rice.md,Chinese,Rice
Taiwanese Beef Noodle Soup,taiwanese-beef-noodle-soup.md,Taiwanese,Beef
Therapeutic Juice Guide,therapeutic-juice-guide.md,Various,Juice
Three-Way Legume Pancakes (Inspired by Besan Chilla),three-way-legume-pancakes-(inspired-by-besan-chilla).md,Indian,Legumes
Traditional Scotch Pies with Hot Water Crust Pastry,traditional-scotch-pies-with-hot-water-crust-pastry.md,Scottish,Beef
Tuscan White Bean Soup,tuscan-white-bean-soup.md,Italian,White Beans
Vietnamese Bun Cha (Noodle Bowls with Pork Meatballs),vietnamese-bun-cha-(noodle-bowls-with-pork-meatballs).md,Vietnamese,Pork
Weeknight Khao Soi (Northern Thai Curry Noodle Soup),weeknight-khao-soi-(northern-thai-curry-noodle-soup).md,Thai,Curry Noodles
White Chicken Enchiladas,white-chicken-enchiladas.md,Mexican,Chicken
Yaki Onigiri (Grilled Japanese Rice Balls),yaki-onigiri-(grilled-japanese-rice-balls).md,Japanese,Rice
